	GC11	GC76	GC55	GC5	GC36	GC62	GC48	GC88	GC105	GC104	GC9	GC16	GC53	GC91	GC29	GC98	GC45	GC17	GC85	GC13	GC51	GC49	GC2	GC34	GC94	GC90	GC103	GC75	GC56	GC7	GC19	GC27	GC93	GC87	GC28	GC46	GC14	GC44	GC73	GC97	GC39	GC102	GC31	GC42	GC24	GC83	GC84	GC57	GC12	GC20	GC89	GC71	GC109	GC4	GC107	GC21	GC38	GC64	GC3	GC6	GC22	GC43	GC1	GC110	GC72	GC58	GC26	GC100	GC35	GC183R	GC54	GC70	GC106	GC77	GC82
GC11	0.0	0.602028564797	0.647222541253	0.611790338051	0.594720864528	0.589207058804	0.591551618376	0.644284015827	0.766677611191	0.785629146653	0.654664918942	0.645778199282	0.601148921434	0.673506741489	0.602872201574	0.599476029349	0.588234802245	0.609794578445	0.657576699303	0.640633117017	0.609349436268	0.599229541769	0.63944781133	0.592859994868	0.64163796709	0.612935097119	0.759918878371	0.671190345318	0.62175726084	0.603882767824	0.610461337237	0.581907588	0.601121444757	0.600935673603	0.597815564331	0.697449945428	0.637253541317	0.582321048398	0.590419246416	0.598873176868	0.599414750222	0.751904881114	0.592071419403	0.589182776905	0.614874917579	0.64854885879	0.67040927994	0.6387927932	0.643698052884	0.629098269142	0.624171169421	0.627183935219	0.753128983505	0.611701019357	0.770345154256	0.60105147491	0.607989226069	0.66736823247	0.538271652182	0.606532808071	0.596696904872	0.597784965465	0.609613314551	0.766451595129	0.60645450643	0.618980472202	0.562488764939	0.610991786089	0.577200612633	0.84932918338	0.577463844949	0.720929220663	0.770679467207	0.577636828218	0.642060426368
GC76	0.602028564797	0.0	0.615966520133	0.573108831608	0.626849785416	0.584367015124	0.617322460635	0.610598731854	0.743956930958	0.758513279658	0.627022567206	0.62994920423	0.615434442428	0.637999300372	0.606385843219	0.612936214434	0.568803257067	0.606117907248	0.638248416287	0.628467764213	0.578754138787	0.598898586414	0.600457644814	0.576402424482	0.594446468347	0.600399202333	0.748581260268	0.655857369576	0.589824375881	0.594721373471	0.590583879415	0.621531416641	0.621631632607	0.620252744657	0.626439206393	0.690529357159	0.620576626941	0.579768299721	0.601647186331	0.592565037263	0.560872851665	0.72916535998	0.609926231228	0.582138323185	0.623506493542	0.608605226884	0.614124252454	0.657655124416	0.629687616435	0.627800055163	0.62646815053	0.577722067339	0.72901596506	0.604935180147	0.749457826142	0.624815463425	0.618729473732	0.629298774928	0.579858429535	0.625218754609	0.600393765391	0.618581353271	0.620020874019	0.743686972973	0.599100374601	0.637358687116	0.594547170893	0.609166306969	0.612115950442	0.857007936589	0.597574718217	0.70490166766	0.767713643514	0.561161961465	0.613662691513
GC55	0.647222541253	0.615966520133	0.0	0.588875904551	0.628281067241	0.616868195144	0.634501047814	0.637788172701	0.740571384974	0.756662275582	0.661060763137	0.602182659947	0.64296823697	0.619766280679	0.624799996065	0.646472075824	0.597447940764	0.63086181281	0.633708860846	0.650217294923	0.620454186459	0.625627134674	0.611377396305	0.60353160576	0.610224535038	0.602722130828	0.737354180583	0.690821522214	0.601987525211	0.611107780707	0.619716792278	0.632151671499	0.626897374304	0.643305408516	0.645272103644	0.724148951987	0.608183912409	0.626942247933	0.646599405507	0.618743249234	0.630335063947	0.73713519597	0.601045445611	0.616772204139	0.665548432925	0.608811637238	0.636099899697	0.666010815882	0.624555255832	0.632490410436	0.653421848742	0.619804225016	0.716366935315	0.650944802817	0.741023196295	0.643183096447	0.66040563037	0.649439949336	0.640854700082	0.609806695603	0.647196342653	0.611361751702	0.615035136677	0.740750775042	0.623132878559	0.642845037886	0.649947974995	0.618120173176	0.622343528322	0.873693986534	0.618642253755	0.729368241491	0.75092122612	0.619234390909	0.589894132297
GC5	0.611790338051	0.573108831608	0.588875904551	0.0	0.586742918944	0.59866759793	0.591843602995	0.603392184492	0.756080304236	0.763232903617	0.621434321551	0.600530008993	0.602512267988	0.621495555116	0.578792688872	0.582315389218	0.572142373897	0.599482681093	0.628442676124	0.616589835865	0.575048491366	0.594072871506	0.597261244362	0.592174034359	0.600728713591	0.573382710359	0.763613410058	0.660626130512	0.58231833471	0.577410224008	0.606096127608	0.606506392146	0.624116249608	0.612196531514	0.602809127932	0.699571285812	0.559046072774	0.569514111867	0.611487249398	0.618886700835	0.597321989074	0.748024300139	0.585324226378	0.58138087687	0.643308430702	0.592758108653	0.634354386813	0.645575431914	0.590496595749	0.607126999655	0.645635977255	0.566632347397	0.735791625515	0.601196323351	0.758247872928	0.600706418191	0.610693851237	0.657236294145	0.567152877389	0.574973290386	0.589125400501	0.61153323463	0.598058590724	0.760961510812	0.602645277056	0.606727484267	0.599231498055	0.590912722772	0.580098766389	0.85717627135	0.565289684563	0.712232092783	0.765778345718	0.543221800542	0.601824294025
GC36	0.594720864528	0.626849785416	0.628281067241	0.586742918944	0.0	0.618318783506	0.582215201862	0.615984721542	0.744207174826	0.763453416873	0.631672660317	0.626649478924	0.600095231937	0.652778613371	0.583507138832	0.607393468603	0.565965838502	0.604067783851	0.638690982911	0.624861425205	0.598923716358	0.579725159534	0.619811793314	0.601685533326	0.618398992594	0.583008104758	0.744196451702	0.693424556798	0.610970849769	0.613149274748	0.608584984888	0.587594278832	0.569754263859	0.578905110676	0.593812192425	0.680036180095	0.608041722103	0.597173282411	0.614832724313	0.600952996843	0.602052204366	0.753307679187	0.569112653003	0.576655549217	0.597033776353	0.627553349416	0.640200473649	0.63217523171	0.601916410919	0.603104401311	0.638888161848	0.580063415302	0.73555920553	0.605062331657	0.759979965346	0.590095606985	0.606976740584	0.643019688646	0.584462923035	0.591142496347	0.594960539893	0.565470645644	0.616171487603	0.753590074965	0.599545131166	0.601193778864	0.56443189685	0.574336382639	0.574144827999	0.861344431113	0.583812327892	0.730677809489	0.767549923183	0.585961695827	0.607402000121
GC62	0.589207058804	0.584367015124	0.616868195144	0.59866759793	0.618318783506	0.0	0.600791364268	0.608535266068	0.74237439518	0.761584170923	0.659493296432	0.633262771463	0.621152931663	0.641128816141	0.616015899634	0.611957934641	0.58155497028	0.580637114941	0.664614378039	0.631735636906	0.60588391833	0.586796332875	0.628582717454	0.582594131389	0.604716127294	0.594340487332	0.757096721857	0.671177237797	0.650450413064	0.626637643583	0.600861481579	0.58473095659	0.618685448873	0.623785723603	0.595742647818	0.673141156848	0.625663127355	0.609946457077	0.586432441104	0.607892066384	0.606720179046	0.761976544441	0.608763175596	0.570194858875	0.604966811653	0.63063755574	0.641812950901	0.625150524781	0.637147096782	0.622705779626	0.61122920622	0.624099367389	0.722088631947	0.592441687176	0.740339903923	0.590136106286	0.581512889163	0.629023851194	0.598871880214	0.618925987274	0.581633678202	0.6226499528	0.619377783767	0.756012109054	0.608662582481	0.611329064424	0.591457691915	0.58594435692	0.62305455335	0.846576022913	0.613048811391	0.678213750141	0.758153002058	0.60186054808	0.6282039183
GC48	0.591551618376	0.617322460635	0.634501047814	0.591843602995	0.582215201862	0.600791364268	0.0	0.63198286627	0.768124636853	0.78879444143	0.671511945581	0.647432149126	0.58907000971	0.683648195602	0.597840921248	0.553626840027	0.594016006729	0.586677673067	0.669957381597	0.63901215629	0.593780584196	0.562339745381	0.654074797558	0.594317657854	0.638230381061	0.594723163162	0.78552618683	0.669693972873	0.645690541231	0.607035489098	0.650397051644	0.566461411336	0.592349850211	0.615178761274	0.611097989968	0.660689112937	0.620656004913	0.610248821433	0.573106313347	0.602568267905	0.614612091945	0.792655303299	0.607982979886	0.592179978209	0.608637240439	0.661308880391	0.681161033608	0.636627342404	0.64506314245	0.632590412155	0.606456625934	0.576237619462	0.755047337305	0.608050767596	0.786112219996	0.597679178443	0.616093787864	0.685308284193	0.557282471721	0.597230280767	0.567081841546	0.571796383112	0.601532749966	0.783788590512	0.628550706611	0.615864591192	0.571513718895	0.579640394897	0.558324803227	0.845105378367	0.598513934048	0.703961384219	0.792321577282	0.583200246124	0.621259514225
GC88	0.644284015827	0.610598731854	0.637788172701	0.603392184492	0.615984721542	0.608535266068	0.63198286627	0.0	0.765622276666	0.77119186549	0.620539648438	0.635645832134	0.665091934726	0.631519608037	0.632743795242	0.60628115146	0.624339058738	0.628285196565	0.642142366474	0.634611168276	0.629414326245	0.63727993777	0.613215698599	0.63408916329	0.606993248773	0.640808867684	0.759731245913	0.658046220008	0.624459414709	0.634275828446	0.620213333976	0.641804295233	0.62494267107	0.651685967635	0.635840066201	0.676702154525	0.60578408093	0.615429431325	0.608589603676	0.632449902725	0.609674036863	0.750490110405	0.624695876069	0.616298165528	0.651692497528	0.614954680874	0.639475163888	0.624549953341	0.624461227225	0.648232720351	0.646879273603	0.593889004365	0.752841012997	0.645123802062	0.767447153867	0.641583485101	0.623385833274	0.62862329872	0.591392323351	0.645491550768	0.665592898924	0.628811302683	0.621553864593	0.762754612733	0.63482935943	0.662277654062	0.602209224228	0.626960137995	0.636897730349	0.84403459074	0.603746463723	0.687628728358	0.782935787265	0.598335210904	0.634268086209
GC105	0.766677611191	0.743956930958	0.740571384974	0.756080304236	0.744207174826	0.74237439518	0.768124636853	0.765622276666	0.0	0.595993171256	0.744417798593	0.700349086442	0.774394089956	0.702950994357	0.738132406896	0.780443891888	0.714415537151	0.76223775978	0.690994852135	0.734488195938	0.740874487306	0.757110776683	0.709907148233	0.754275753202	0.729549840749	0.752582370638	0.572676123485	0.711630148975	0.716283115367	0.705278880131	0.729648691044	0.775726686619	0.751345778303	0.777234465445	0.7333888952	0.825355042468	0.72916459374	0.717896573584	0.762871611247	0.75800662915	0.753038667075	0.604142906103	0.70719214717	0.763210750869	0.760422608974	0.704260343291	0.687494857223	0.766806421381	0.736473423942	0.751013858536	0.790963387837	0.765815378334	0.58667366771	0.743021747189	0.596347020433	0.753552885619	0.753626834699	0.695102832185	0.762198106979	0.768546561989	0.769426921531	0.750549839563	0.730364056618	0.590146653318	0.738365047245	0.760058500205	0.77279197628	0.743079033075	0.758606130182	0.929382562013	0.746135924843	0.822170977778	0.57183273956	0.755968713942	0.723241571309
GC104	0.785629146653	0.758513279658	0.756662275582	0.763232903617	0.763453416873	0.761584170923	0.78879444143	0.77119186549	0.595993171256	0.0	0.772291677403	0.727912467048	0.784664549281	0.737121145321	0.750653959586	0.804913073208	0.729727662786	0.76277106375	0.713412571002	0.762208224896	0.758297353395	0.759053705753	0.72443594321	0.769197799533	0.740680155392	0.770698086208	0.626434267923	0.736572002936	0.743146187587	0.731675179066	0.737870112529	0.787627480076	0.746191260927	0.805819893811	0.743271341333	0.823031207964	0.723690852511	0.729498945161	0.763551955496	0.757736153152	0.769268078416	0.635522701893	0.728060822438	0.771723896915	0.754384347611	0.713342777047	0.703764335943	0.764524933726	0.74641448024	0.756404458514	0.806306892104	0.775293239999	0.600404314987	0.746941320139	0.610147339437	0.764864064839	0.759100938231	0.708553830743	0.779002327881	0.784104562772	0.783472867942	0.767445165922	0.763648247429	0.6277336822	0.764195474665	0.771972485013	0.785069159825	0.741487528625	0.765366354015	0.926004644793	0.770706219376	0.820607296061	0.619246397495	0.755930835151	0.732108989895
