	GC11	GC76	GC55	GC5	GC36	GC62	GC48	GC88	GC105	GC104	GC9	GC16	GC53	GC91	GC29	GC98	GC45	GC17	GC85	GC13	GC51	GC49	GC2	GC34	GC94	GC90	GC103	GC75	GC56	GC7	GC19	GC27	GC93	GC87	GC28	GC46	GC14	GC44	GC73	GC97	GC39	GC102	GC31	GC42	GC24	GC83	GC84	GC57	GC12	GC20	GC89	GC71	GC109	GC4	GC107	GC21	GC38	GC64	GC3	GC6	GC22	GC43	GC1	GC110	GC72	GC58	GC26	GC100	GC35	GC183R	GC54	GC70	GC106	GC77	GC82
GC11	0.0	0.186673291427	0.255934066995	0.206166645433	0.262047324194	0.213900324399	0.193411166919	0.261440236247	0.423985169029	0.418188650857	0.341185231855	0.249095622412	0.1981133863	0.308462377006	0.22356388704	0.216686174481	0.22976088436	0.19424966194	0.276642227771	0.212637231237	0.216467520675	0.215324639839	0.302575381544	0.227578922333	0.275597306566	0.225263276166	0.372303787471	0.264452459981	0.229727459614	0.227736943483	0.240837162258	0.236846188529	0.273813447601	0.212539017578	0.170921029155	0.366062927464	0.284816731894	0.197060901763	0.193464419137	0.234629756412	0.136351353631	0.375237172799	0.243087340273	0.214768326613	0.204232118469	0.233180553434	0.342160407688	0.310075986107	0.219583492488	0.241269826543	0.248484721827	0.220622056125	0.411285784061	0.243594184677	0.388896895749	0.275631042557	0.270080127903	0.283328006481	0.191037641294	0.214438204054	0.219952863611	0.161002729887	0.254387076613	0.361867244691	0.217462587042	0.224086292914	0.203121634301	0.209792513778	0.214359887299	0.455581050968	0.177714418437	0.308448751613	0.390665635305	0.186678193895	0.309091758592
GC76	0.186673291427	0.0	0.192765995442	0.125007804632	0.224750708499	0.169757579923	0.197292644154	0.225565463504	0.393895475297	0.387118280995	0.301036383911	0.198016404769	0.144380296819	0.265091243381	0.169453948614	0.122082934951	0.19178025027	0.14318113352	0.226122116051	0.116557277321	0.153605927979	0.152777670916	0.26272931884	0.173534220316	0.235292974707	0.122295844981	0.33851498242	0.294891937689	0.219859495191	0.160106787513	0.196321983172	0.196418707432	0.240894604333	0.147910216656	0.158302254105	0.473429839477	0.248997446522	0.163701428446	0.167203256156	0.170744867123	0.157612420476	0.348174565466	0.212001416333	0.112967553907	0.241086199553	0.299768146968	0.302919205514	0.286520097413	0.168378277802	0.194628872202	0.21132470891	0.119781364266	0.38478413455	0.189265693847	0.360922633591	0.21241864642	0.231368281672	0.247824534545	0.141317194689	0.134019497134	0.191604768656	0.177197280653	0.202949037638	0.331821853112	0.134874966058	0.193463281859	0.233183393017	0.140992061444	0.143739217993	0.464054301249	0.215111770687	0.319117842296	0.363456846837	0.105369429071	0.267429402816
GC55	0.255934066995	0.192765995442	0.0	0.204551913725	0.210955805541	0.194233020825	0.187991742358	0.236393404016	0.359290839105	0.357656723828	0.311785301067	0.167944232111	0.175669274431	0.227205556477	0.185134745506	0.21923021856	0.156233506662	0.194646644534	0.185601363335	0.203777151294	0.16086794455	0.19076772303	0.267757499537	0.181320039842	0.210763236941	0.189356050294	0.310479346362	0.279139144946	0.216424829292	0.181289604275	0.20557828013	0.201599115028	0.255146051819	0.178183560606	0.19794498484	0.534856338124	0.183604589649	0.166358007682	0.203841728774	0.170962086793	0.226647922528	0.317661381855	0.193985944341	0.203270624892	0.266094147882	0.29054395869	0.253314217231	0.302543607971	0.190274548586	0.190296685839	0.24453701988	0.198223566302	0.35005063805	0.20077878671	0.328815430736	0.173944424656	0.252716356104	0.258556510858	0.222296244589	0.199878944283	0.209242837723	0.193410721145	0.225330962331	0.309552173503	0.175409485214	0.196447705628	0.274104740097	0.193264874793	0.188686010039	0.474765182078	0.242797708531	0.324964020952	0.327307967532	0.186139114214	0.182192163317
GC5	0.206166645433	0.125007804632	0.204551913725	0.0	0.215347459959	0.197229535656	0.175769035637	0.208114201584	0.378793231951	0.369613248921	0.290980491024	0.181131532911	0.145119017659	0.257254667044	0.147328437346	0.156106677758	0.183679541477	0.162849185197	0.190138883296	0.151884439571	0.161125789948	0.184725346012	0.238909488878	0.20675830831	0.207023366124	0.131062150289	0.32135435187	0.261763562571	0.168121775176	0.151764103139	0.227478045051	0.234307068132	0.246164620395	0.161250424983	0.144045828323	0.461665924575	0.230969026382	0.154031256521	0.190441775456	0.186820718596	0.147746133641	0.325905002477	0.184655422583	0.126889824233	0.258499288061	0.273761502093	0.279171261063	0.29341096841	0.122425048114	0.19728305521	0.251727088361	0.136820574377	0.363443569566	0.182677461738	0.340779877712	0.22760252855	0.24138480409	0.260968597547	0.105339130838	0.110651005676	0.167367649718	0.187842442734	0.164453378067	0.317604389597	0.132202593996	0.208236285325	0.218678960015	0.173326369467	0.129846430743	0.479561356524	0.198210382189	0.335370590675	0.344786967962	0.118420654397	0.249544942444
GC36	0.262047324194	0.224750708499	0.210955805541	0.215347459959	0.0	0.130831181162	0.169063461117	0.157110077842	0.368822882222	0.362307040402	0.210853651532	0.193250577754	0.205362808267	0.188771549744	0.212840580365	0.251533048475	0.137015185389	0.201402577217	0.22047469709	0.211883309525	0.153095073925	0.15208902	0.14810624524	0.142121305025	0.152612323651	0.236830407639	0.31607010008	0.283440785423	0.187505575869	0.221108428902	0.14992141	0.124879762041	0.119649519353	0.19227583036	0.201469827896	0.522167815195	0.184368880475	0.18331754517	0.18861499045	0.194501114918	0.237971324569	0.327232420402	0.118279024082	0.18723113	0.152591404785	0.262158040487	0.218390043744	0.184381231498	0.20134125533	0.107614812155	0.166121061565	0.201320477571	0.358925705528	0.12462053	0.334826321407	0.200170112113	0.13675726	0.186611711174	0.233784336327	0.229899382783	0.195376794343	0.176211391871	0.197259436613	0.308730522044	0.182046365462	0.125533834056	0.191952845427	0.191599586774	0.171037334673	0.479953	0.182516754634	0.31879554	0.337162760606	0.181111150061	0.22150741404
GC62	0.213900324399	0.169757579923	0.194233020825	0.197229535656	0.130831181162	0.0	0.157887501002	0.151071813565	0.389120786361	0.382684602283	0.21926070316	0.180458576951	0.176798742642	0.204138209085	0.196381265716	0.208003042865	0.131727248622	0.131851609415	0.217288335298	0.162083143689	0.137698372576	0.106280837275	0.17967699788	0.119714713961	0.155523098205	0.213620363968	0.334235608358	0.280623072553	0.190727944435	0.208086964876	0.122107944429	0.113949961249	0.155204455493	0.162596467797	0.186406252505	0.503462829473	0.193944783468	0.16766496994	0.136969829178	0.174103695875	0.210967871916	0.343085626036	0.128476504621	0.163514412685	0.165931590518	0.257429372477	0.237616809679	0.191207237735	0.175445241763	0.105150696674	0.137680331606	0.185330392404	0.375609718865	0.119845509559	0.354600685159	0.179072722401	0.134912366733	0.172821603105	0.219604172549	0.22038133637	0.176343970398	0.14928305831	0.17270341247	0.331138246493	0.169345654301	0.109491491678	0.177682980907	0.141262054108	0.153880272535	0.460288723206	0.157581212954	0.291855673507	0.355722305642	0.148047156583	0.229895956212
GC48	0.193411166919	0.197292644154	0.187991742358	0.175769035637	0.169063461117	0.157887501002	0.0	0.195669138014	0.365020251961	0.36472173934	0.281466279792	0.198418816797	0.1342173976	0.258204543069	0.14843111636	0.21137256599	0.142489071987	0.162639861557	0.220546063512	0.191998237311	0.127436147689	0.154769937665	0.237302578597	0.181083631355	0.196263443941	0.213249576556	0.325837830894	0.224941453271	0.156289121266	0.175370094898	0.191423123706	0.189037300995	0.207084825107	0.166580814901	0.125474121654	0.465339977846	0.229740661302	0.127080728248	0.133647668826	0.13895007712	0.177575857868	0.325908576282	0.139055928053	0.161366499645	0.181175864321	0.259515589728	0.277460435803	0.253490489807	0.173804467005	0.164048311669	0.207413822452	0.168421910849	0.358799846899	0.149795056802	0.339305886131	0.21941782775	0.206764897563	0.240709376405	0.169331082358	0.176223753499	0.113143216737	0.106779770777	0.176782200446	0.321292255679	0.161256661641	0.145641453989	0.177252449506	0.177665429702	0.14188761758	0.43586716	0.151023756675	0.275712367411	0.340163219094	0.157509835072	0.250129134306
GC88	0.261440236247	0.225565463504	0.236393404016	0.208114201584	0.157110077842	0.151071813565	0.195669138014	0.0	0.369437130999	0.361765426063	0.186573076354	0.173252303448	0.221469583433	0.166196682019	0.224293335683	0.276300920687	0.168596107701	0.191599368092	0.205086458331	0.22209035919	0.180447196579	0.187934394357	0.171239975288	0.17852188804	0.172520186196	0.246286525475	0.30572109843	0.254169060055	0.180631460797	0.243044811262	0.151208724357	0.176563957575	0.170904064135	0.222856978401	0.209649232386	0.498320482921	0.169548445707	0.187266643973	0.208154394633	0.21842287727	0.229961974988	0.317875038064	0.148970948599	0.200103216224	0.205491863409	0.219981642771	0.213087455031	0.162639086969	0.18044115815	0.145529115172	0.215006272209	0.223526057797	0.357829175077	0.171780091411	0.337458513115	0.214389480583	0.162325370705	0.15079526299	0.233634324964	0.233075442309	0.207574387447	0.203457383492	0.176088972192	0.304336922995	0.188397830825	0.177768368411	0.194677194155	0.19326392717	0.18038304311	0.466573343817	0.176887680059	0.304319532033	0.335125275053	0.198786202407	0.224640334211
GC105	0.423985169029	0.393895475297	0.359290839105	0.378793231951	0.368822882222	0.389120786361	0.365020251961	0.369437130999	0.0	0.149573602077	0.397081356	0.351030015449	0.356053569065	0.36669803108	0.329373500236	0.405698414955	0.357812509237	0.387181397397	0.329807250649	0.379732781608	0.358392891854	0.390427628687	0.370415376517	0.389923189483	0.367349323396	0.405799561907	0.185988258979	0.318832059248	0.361901968622	0.323896817358	0.36750139202	0.408259058235	0.3937705735	0.383034979496	0.37554305089	0.589000495222	0.379964036902	0.32955025625	0.395009201201	0.327258648369	0.407496446495	0.19282756987	0.353173878066	0.381514070202	0.433157188643	0.407297271211	0.376866035327	0.415947584938	0.360307841255	0.37174074397	0.429447158141	0.384843911463	0.150610778539	0.382092360101	0.163224193391	0.416399977755	0.406317427879	0.356781930949	0.388889838796	0.366143240442	0.36319533463	0.38497661165	0.383463277085	0.194236510556	0.347919068091	0.391906113606	0.423081356682	0.376006631971	0.37300593848	0.507350860202	0.403221280857	0.414929926869	0.156594121212	0.379324845634	0.393456976764
GC104	0.418188650857	0.387118280995	0.357656723828	0.369613248921	0.362307040402	0.382684602283	0.36472173934	0.361765426063	0.149573602077	0.0	0.39064187283	0.345972317466	0.34793252772	0.364754776092	0.318947493337	0.39785436641	0.354342928962	0.376264381796	0.326218737949	0.376410976364	0.355152151984	0.384370927284	0.364459277038	0.387770439329	0.365505842234	0.401760949409	0.195466488046	0.302171597616	0.363031911183	0.319976442998	0.356419241751	0.401619650618	0.385261394484	0.379961438362	0.370925709568	0.580911646747	0.372989381563	0.324501088253	0.389341806062	0.319734660628	0.400178387697	0.184215891439	0.346376667289	0.376221377606	0.425933176809	0.404087269969	0.376919071128	0.405667849873	0.353668261518	0.365758439668	0.426240265918	0.377858575461	0.125526088764	0.377369391046	0.151720944855	0.413333984504	0.398341810342	0.351407892436	0.381269620006	0.358919990734	0.360729374734	0.381008591549	0.378535656885	0.193895423463	0.340883408342	0.387004090547	0.41777434364	0.370002511845	0.370641825233	0.469910637746	0.400601385631	0.385303293159	0.154052410768	0.37314139514	0.389536079291
